Speedup Multi Decoding,Better,size of image-px,size of word
0.8243110446485794,CPU,202800,3
1.6181037330690453,FPGA,549600,3
2.173639509279648,FPGA,217800,3
2.4936447956028855,FPGA,297600,3
1.5855042016806722,FPGA,423000,3
0.8262158157079348,CPU,202800,2
1.5030921459492887,FPGA,549600,2
1.6566110397946086,FPGA,217800,2
1.6597199066355453,FPGA,297600,2
3.222534280522056,FPGA,423000,2
0.2895222318436806,CPU,202800,1
0.8916012290884261,CPU,549600,1
0.8006299212598426,CPU,217800,1
0.8004724409448819,CPU,297600,1
0.8990217734301041,CPU,423000,1
3.3723506743737968,FPGA,541800,4
3.506591337099812,FPGA,436200,4
3.7281841812105454,FPGA,511200,4
3.610003760812336,FPGA,360000,4
3.802609506057781,FPGA,201600,4
3.675884123401053,FPGA,202800,4
4.139128802102891,FPGA,549600,4
3.447565543071161,FPGA,217800,4
3.2970332850940665,FPGA,297600,4
3.4568594422609022,FPGA,423000,4
